Crash ID,Active School Zone Flag,At Intersection Flag,Bridge Detail,City,Contributing Factors,Crash Date,Crash Month,Crash Severity,Crash Time,Crash Year,DA,Day of Week,Hour of Day,Intersecting Road Speed Limit,Intersection Related,Latitude,Left Curb Type,Left Shoulder Type,Left Shoulder Use,Light Condition,Longitude,Number of Lanes,Object Struck,Population Group,Right Curb Type,Right of Way Usual Width,Right Shoulder Type,Right Shoulder Use,Road Base Type,Section,Section 2,Speed Limit,Street Name,Street Number,Surface Width,TxDOT Reportable Flag,Weather Condition
17507539,NO,TRUE,NOT APPLICABLE,HOUSTON,PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,1/1/20,1,B - SUSPECTED MINOR INJURY,1727,2020,20,WEDNESDAY,17:00 - 17:59,-1,INTERSECTION RELATED,29.66552482,No Data,No Data,No Data,"4 - DARK, UNKNOWN LIGHTING",-95.27701312,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,BROADWAY ST,NO DATA,No Data,Yes,3 - RAIN
17529162,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAILED TO CONTROL SPEED; UNDER INFLUENCE - ALCOHOL,1/1/20,1,C - POSSIBLE INJURY,1808,2020,3E,WEDNESDAY,18:00 - 18:59,-1,INTERSECTION,29.77490479,No Data,No Data,No Data,"2 - DARK, NOT LIGHTED",-95.16530314,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,NANCY ROSE ST,1113,No Data,Yes,1 - CLEAR
17497286,NO,FALSE,NOT APPLICABLE,OUTSIDE CITY LIMITS,FAILED TO CONTROL SPEED,1/2/20,1,A - SUSPECTED SERIOUS INJURY,100,2020,5T,THURSDAY,01:00 - 01:59,-1,NON INTERSECTION,29.9159109,No Data,No Data,No Data,"2 - DARK, NOT LIGHTED",-95.58461303,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,40,JONES RD,9802,No Data,Yes,2 - CLOUDY
17497972,NO,FALSE,NOT APPLICABLE,TOMBALL,NONE,1/4/20,1,A - SUSPECTED SERIOUS INJURY,2042,2020,NO DATA,SATURDAY,20:00 - 20:59,-1,NON INTERSECTION,30.11613894,No Data,No Data,No Data,"2 - DARK, NOT LIGHTED",-95.59890591,No Data,NOT APPLICABLE,"10,000 - 24,999 POP",No Data,No Data,No Data,No Data,No Data,No Data,No Data,40,E HUFSMITH RD,1473,No Data,Yes,1 - CLEAR
18046588,NO,FALSE,NOT APPLICABLE,HOUSTON,FAILED TO DRIVE IN SINGLE LANE,1/4/20,1,C - POSSIBLE INJURY,1200,2020,20,SATURDAY,12:00 - 12:59,-1,NON INTERSECTION,29.75731309,No Data,No Data,No Data,1 - DAYLIGHT,-95.398182,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,W DALLAS ST,3109,No Data,Yes,1 - CLEAR
17504051,NO,TRUE,NOT APPLICABLE,BELLAIRE,FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN,1/7/20,1,C - POSSIBLE INJURY,1350,2020,NO DATA,TUESDAY,13:00 - 13:59,-1,INTERSECTION RELATED,29.70594482,No Data,No Data,No Data,1 - DAYLIGHT,-95.45128307,No Data,NOT APPLICABLE,"10,000 - 24,999 POP",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,BELLAIRE BLVD,NO DATA,No Data,Yes,1 - CLEAR
17529447,NO,FALSE,NOT APPLICABLE,HOUSTON,FAILED TO CONTROL SPEED,1/8/20,1,B - SUSPECTED MINOR INJURY,1720,2020,80,WEDNESDAY,17:00 - 17:59,-1,NON INTERSECTION,29.75441425,CURB-SURFACE DRAINAGE ONLY,NONE (UNPAVED),NO DESIGNATED USE,1 - DAYLIGHT,-95.64455405,6,NOT APPLICABLE,"250,000 POP AND OVER",CURB-SURFACE DRAINAGE ONLY,No Data,NONE (UNPAVED),NO DESIGNATED USE,No Data,5,No Data,45,SH0006,1646,96,Yes,2 - CLOUDY
17508443,NO,TRUE,NOT APPLICABLE,HOUSTON,PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,1/9/20,1,B - SUSPECTED MINOR INJURY,833,2020,10,THURSDAY,08:00 - 08:59,-1,INTERSECTION RELATED,29.67607482,No Data,No Data,No Data,1 - DAYLIGHT,-95.47992306,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,35,S BRAESWOOD BLVD,NO DATA,No Data,Yes,1 - CLEAR
17518658,NO,TRUE,NOT APPLICABLE,OUTSIDE CITY LIMITS,DRIVER INATTENTION,1/9/20,1,C - POSSIBLE INJURY,650,2020,C2,THURSDAY,06:00 - 06:59,-1,INTERSECTION,30.04691475,No Data,No Data,No Data,"2 - DARK, NOT LIGHTED",-95.44252306,No Data,NOT APPLICABLE,RURAL,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20,CYPRESSWOOD DR,NO DATA,No Data,Yes,1 - CLEAR
17511084,NO,TRUE,NOT APPLICABLE,HOUSTON,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,1/11/20,1,C - POSSIBLE INJURY,1837,2020,50,SATURDAY,18:00 - 18:59,-1,INTERSECTION,29.73337481,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.3490831,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,NAPOLEON ST,2501,No Data,Yes,1 - CLEAR
17513519,NO,FALSE,NOT APPLICABLE,HOUSTON,FAILED TO CONTROL SPEED;FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,1/11/20,1,A - SUSPECTED SERIOUS INJURY,1848,2020,10,SATURDAY,18:00 - 18:59,-1,NON INTERSECTION,29.74746139,No Data,No Data,No Data,"3 - DARK, LIGHTED",-95.32917508,No Data,NOT APPLICABLE,"250,000 POP AND OVER",No Data,No Data,No Data,No Data,No Data,No Data,No Data,20,SUPER ST,111,No Data,Yes,2 - CLOUDY
