"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/16/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 6,756 Crashes containing 14,925 Units and 16,139 Persons"

"Filters Applied to current Query:"
"Crash Year Is In  2020 or 2021 or 2022 or 2023 or 2024 or 2025"
"County Is Equal To HARRIS"
"Crash Severity Is In A - SUSPECTED SERIOUS INJURY or B - SUSPECTED MINOR INJURY or C - POSSIBLE INJURY or K - FATAL INJURY"
"Unit Description Is In 4 - PEDESTRIAN"
"TxDOT Reportable Flag Is True "


"Crash ID","Active School Zone Flag","At Intersection Flag","Bridge Detail","City","Contributing Factors","Crash Date","Crash Month","Crash Severity","Crash Time","Crash Year","DA","Day of Week","Hour of Day","Intersecting Road Speed Limit","Intersection Related","Latitude","Left Curb Type","Left Shoulder Type","Left Shoulder Use","Light Condition","Longitude","Number of Lanes","Object Struck","Population Group","Right Curb Type","Right of Way Usual Width","Right Shoulder Type","Right Shoulder Use","Road Base Type","Section","Section 2","Speed Limit","Street Name","Street Number","Surface Width","TxDOT Reportable Flag","Weather Condition"
"17492864","NO","true","NOT APPLICABLE","HOUSTON","TURNED IMPROPERLY - WRONG LANE","2020-01-01","1","C - POSSIBLE INJURY","1910","2020","50","WEDNESDAY","19:00 - 19:59","-1","INTERSECTION","29.7704348","No Data","No Data","No Data","3 - DARK, LIGHTED","-95.41057308","No Data","HIT TRAFFIC SIGNAL POLE OR POST","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","WASHINGTON AVE","4899","No Data","Yes","3 - RAIN"
"17493341","NO","false","NOT APPLICABLE","HOUSTON","FAILED TO DRIVE IN SINGLE LANE;UNSAFE SPEED","2020-01-01","1","A - SUSPECTED SERIOUS INJURY","0740","2020","20","WEDNESDAY","07:00 - 07:59","-1","NON INTERSECTION","29.67881319","NONE","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","5 - DAWN","-95.27104501","9","NOT APPLICABLE","250,000 POP AND OVER","NONE","No Data","BITUMINOUS SURFACE (PAVED)","EMERGENCY ONLY","No Data","3","No Data","50","IH0045","NO DATA","96","Yes","2 - CLOUDY"
"17494734","NO","false","NOT APPLICABLE","HOUSTON","DISREGARD STOP AND GO SIGNAL","2020-01-01","1","C - POSSIBLE INJURY","1900","2020","80","WEDNESDAY","19:00 - 19:59","-1","INTERSECTION","29.75597481","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.63300302","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","40","BRIAR FOREST DR","NO DATA","No Data","Yes","3 - RAIN"
"17495241","NO","false","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - TO PEDESTRIAN","2020-01-01","1","C - POSSIBLE INJURY","2300","2020","10","WEDNESDAY","23:00 - 23:59","-1","NON INTERSECTION","29.68320483","No Data","No Data","No Data","6 - DUSK","-95.56269304","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","S COURSE DR","8600","No Data","Yes","99 - UNKNOWN"
"17504921","NO","true","NOT APPLICABLE","HOUSTON","FAILED TO YIELD RIGHT OF WAY - TURNING LEFT;PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-01","1","C - POSSIBLE INJURY","2211","2020","20","WEDNESDAY","22:00 - 22:59","-1","INTERSECTION RELATED","29.79687479","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.3278031","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","BROYLES ST","NO DATA","No Data","Yes","3 - RAIN"
"17507686","NO","true","NOT APPLICABLE","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-01","1","A - SUSPECTED SERIOUS INJURY","1915","2020","20","WEDNESDAY","19:00 - 19:59","-1","INTERSECTION RELATED","29.70360482","No Data","No Data","No Data","3 - DARK, LIGHTED","-95.58794303","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","S KIRKWOOD RD","NO DATA","No Data","Yes","3 - RAIN"
"17513683","NO","false","NOT APPLICABLE","OUTSIDE CITY LIMITS","FAILED TO DRIVE IN SINGLE LANE","2020-01-01","1","C - POSSIBLE INJURY","0013","2020","2T","WEDNESDAY","00:00 - 00:59","-1","NON INTERSECTION","29.93149799","No Data","No Data","No Data","3 - DARK, LIGHTED","-95.38385713","No Data","DITCH","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","30","HENRY RD","15917","No Data","Yes","1 - CLEAR"
"17513794","NO","true","NOT APPLICABLE","OUTSIDE CITY LIMITS","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2020-01-01","1","A - SUSPECTED SERIOUS INJURY","1838","2020","NO DATA","WEDNESDAY","18:00 - 18:59","-1","NON INTERSECTION","29.91613477","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.49591305","No Data","NOT APPLICABLE","RURAL","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","N HOUSTON ROSSLYN RD","NO DATA","No Data","Yes","3 - RAIN"
"17495509","NO","false","CRASH INVOLVED UNDERPASS","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE;OTHER (EXPLAIN IN NARRATIVE)","2020-01-02","1","C - POSSIBLE INJURY","2101","2020","50","THURSDAY","21:00 - 21:59","-1","NON INTERSECTION","29.70398482","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.51119306","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","45","BELLAIRE BLVD","7200","No Data","Yes","3 - RAIN"
"17496433","NO","false","NOT APPLICABLE","HOUSTON","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE;OTHER (EXPLAIN IN NARRATIVE)","2020-01-02","1","K - FATAL INJURY","1948","2020","20","THURSDAY","19:00 - 19:59","-1","NON INTERSECTION","29.65848482","No Data","No Data","No Data","2 - DARK, NOT LIGHTED","-95.34422001","No Data","NOT APPLICABLE","250,000 POP AND OVER","No Data","No Data","No Data","No Data","No Data","No Data","No Data","35","REED RD","5200","No Data","Yes","1 - CLEAR"
